채용글번호,채용글제목,직무타입,직무기술스택,경력,학력,근무형태,필수사항,우대사항,급여,직급/직책,근무일시,근무지역,남은지원기간,기업코드
43009211,Back End 개발자/Full Stack  개발자 채용,풀스택,,경력 1년 ↑,"대졸(2,3년제) 이상","정규직, 계약직","전   공:공학계열,활동/경험:해당직무 근무경험",,"연봉 4,000 만원 (주 40시간)",,주 5일(월~금) 08:30~17:30,"(41260) 대구 동구 동대구로 465, 스케일업허브 705호(신천동)",상시 채용,cERMaXc5ckFQRXNoaXE4bWY2R0k4QT09
43009175,"클라이언트 개발(Unity3D, C#) 경력 및 신입",기타,c#,신입·경력(년수무관),학력무관,정규직,,,"연봉 5,000 만원 (주 45시간)",,주 5일(월~금) 10:00~19:00,(06151) 서울 강남구 테헤란로 313 성지하이츠1(역삼동) 서울 2호선 선릉역에서 500m 이내,29,VVMwaWRDREcyb3diRXozMC9BeWJGQT09
43009153,[드림에이스] 직무별 경력 및 신입 채용 (개발/기획/디자인),기타,,무관(신입포함),학력무관,"정규직, 계약직",,,면접 후 결정,,,"(04779) 서울 성동구 성수일로 19 UHAN TOWER(유한타워) 2층, 3층(성수동1가) 수인분당선 서울숲역에서 500m 이내",20,VEcrekFvR0kyQk1DVm9WbGh0c2Q3UT09
43009134,(서울/논현역) 포스 키오스크 컨텐츠 개발자 정규직 채용,기타,,무관(신입포함),학력무관,정규직,,"근무조건:인근거주자,활동/경험:해당직무 근무경험",면접 후 결정,"사원, 주임, 대리",09:00~18:00,"(06531) 서울 서초구 신반포로45길 18, 1층 서울 7호선 논현역에서 300m 이내",29,OGZENG12S04wc3UyRGtHSUZ6bFlMUT09
43008989,[C# 프로그래머] 카카오계열 게임사,기타,c#,경력 4~10년,대졸(4년제) 이상,정규직,,,면접 후 결정,"대리, 과장",주 5일(월~금),(13487) 경기 성남시 분당구 대왕판교로645번길 14 네오위즈(삼평동) 신분당선 판교역에서 1km 이내,채용시 마감,ZEJDanU1SmNYcW0yd3dGcU9vd1Jkdz09
43008958,[풀스택 개발자] 외국어 학습 플랫폼,풀스택,,경력 5년 ↑,대졸(4년제) 이상,정규직,,,면접 후 결정,"대리, 과장",주 5일(월~금),(06241) 서울 강남구 강남대로 364 미왕빌딩(역삼동) 신분당선 강남역에서 200m 이내,채용시 마감,ZEJDanU1SmNYcW0yd3dGcU9vd1Jkdz09
43008865,[SM하이플러스] 각 부문별 경력 채용,기타,,경력(년수무관),대졸(4년제) 이상,정규직,,,면접 후 결정,"사원, 대리, 과장",주 5일(월~금) 09:00~18:00,"(07803) 서울 강서구 마곡중앙8로 78, 3층",6,UFhEaTRybC8yQ3c1bmhzZExSMTdMdz09
43008757,[Back-end Engineer] 패션 AI 스타트업,백엔드,,경력 5년 ↑,대졸(4년제) 이상,정규직,,,면접 후 결정,"대리, 과장",주 5일(월~금),(06036) 서울 강남구 도산대로 145 인우빌딩(신사동) 서울 3호선 신사역에서 500m 이내,채용시 마감,ZEJDanU1SmNYcW0yd3dGcU9vd1Jkdz09
42852907,전산실 운영 및 유지보수,기타,,신입·경력,학력무관,정규직,,,면접 후 결정,면접 후 결정,,충북 옥천군,4,RlErWmlnODUxTTk4MVhqWkc1TGJlUT09
43008684,프로그램개발 경력무관 채용합니다(정규직),기타,,무관(신입포함),고교졸업 이상,정규직,,,면접 후 결정,,주 5일(월~금) 09:00~18:00,(06121) 서울 강남구 봉은사로 129 거평타운 1411호 서울 9호선 신논현역에서 300m 이내,29,T3FaSEN1MmVvNjFaVHZvK3ZSeHZYQT09
42644490,S/W 개발자(신입)모집 ( JAVA / C# 등 ),"백엔드,기타","java,c#",신입,"대졸(2,3년제) 이상(예정자 가능)",정규직,,"전공:컴퓨터/시스템공학,외국어 능력:영어능통자","연봉 2,800 만원 (주 40시간)",면접 후 결정,09:00~18:00,(04782) 서울 성동구 연무장5가길 7 성수역 현대테라스타워 1402호(성수동2가) 서울 2호선 성수역에서 300m 이내,채용시 마감,ZW0yVW9GN25IQWlFbmpHQS9NSmpUdz09
43008476,(경력) 자바 웹/서버 개발자 채용,백엔드,자바,경력 1년 ↑,학력무관,정규직,,,면접 후 결정,,,(138-170) 서울 송파구 송파동 7-1 잠실아르누보팰리스 2층 서울 8호선 석촌역에서 500m 이내,29,Y3VwUnpEMUpqa3U2ZDVBenltYmNDUT09
43008190,하이브리드 웹 개발 및 운영 SM,웹,,경력 5년 ↑,대졸(4년제) 이상,프리랜서,,,면접 후 결정,,,(58323) 전남 나주시 정보화길 1 우정사업정보센터(빛가람동),29,SE5HRXpWQVRmMDNpenF3UU5rRzFHdz09
43008127,[VOGO 서비스 Front-end 개발자] 라이브 커머스 선두주자,프론트엔드,,경력 3~9년,대졸(4년제) 이상,정규직,,,면접 후 결정,"대리, 과장",주 5일(월~금),(06241) 서울 강남구 테헤란로2길 27 패스트파이브빌딩(역삼동) 신분당선 강남역에서 200m 이내,채용시 마감,ZEJDanU1SmNYcW0yd3dGcU9vd1Jkdz09
